,title,company,location,rating,link,summary,salary,job type,shift & schedule,job description
83,"Software Engineer (MERN, Okta)","The Travelers Companies, Inc.","Remote in Toronto, ON",3.6,https://ca.indeed.com/viewjob?jk=579542377a6dcc5f,You will find Travelers to be full of energy and a workplace in which you truly can make a difference.Individual will complete advanced end-to-end engineering…,None Given,None Given,None Given,"
Who Are We?
 Solid reputation, passionate people and endless opportunities. That’s Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers – and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.
 Target Openings 1
  What Is the Opportunity? Travelers is seeking a Software Engineer II to join our organization as we grow and transform our Technology landscape. Individual will complete advanced end-to-end engineering tasks for specific system assignments including designing, developing, analyzing, configuring, testing, debugging, troubleshooting, documenting, health monitoring/alerting, and implementing based on user or system specifications, consulting with users to determine hardware, software or system functional specifications, managing interaction between the systems and other technical support areas and defining technical requirements and coordinating team resources to solve problems.
 
 This opportunity is part of the newly created Travelers Global Tech team. At the onset, this team will be a combination of Software Engineers and Architects that will play a critical role in accelerating our digital transformation by applying expertise in modern technologies to develop innovative solutions that will strengthen our competitive advantage. Incumbents will be located in Canada and will work closely with our technology teams based in the United States. Leadership and peers will principally be located in the United States.
 



 Depending on location, this role may be performed via a hybrid or remote working arrangement. Occasional travel to the United States may be required
 
 The Work Arrangement for this position is based on location.
  What Will You Do?

 Perform analysis, design, development, and configuration functions (includes defining technical requirements) with a high degree of accuracy and speed, operating as an individual contributor to team goals.
 Perform analysis, assessment and resolution for defects and incidents of advanced complexity and escalate appropriately.
 Work independently to tackle well-scoped and loosely scoped problems.
 Seek opportunities to expand technical knowledge and capabilities.
 Provide technical guidance and mentorship to less experienced employees.
 Perform other duties as assigned. 

What Will Our Ideal Candidate Have?

 Four years of programming/development experience preferred.
 Experience with MERN stack technology.
 Delivery: Intermediate delivery skills including the ability to estimate accurate timelines for tasks and deliver work at a steady, predictable pace to achieve commitments, contribute to the software design strategy and methodologies used to best meet the system requirements, consider and build for many different use cases, avoid over engineering, and ensure automation, deliver complete solutions but release them in small batches, and identify important trade-offs and negotiate them.
 Domain Expertise: Demonstrated track record of domain expertise including understanding technical concepts necessary to do the job effectively and aware of industry trends, demonstrate willingness, cooperation, and concern for business issues and priorities, and possess in depth knowledge of immediate systems worked on and some knowledge of adjacent systems.
 Problem Solving: Strong problem solver who ensures solutions are built for the long term, is able to resolve new issues, recognizes mistakes using them as learning and teaching opportunities and consistently breaks down large problems into smaller, more manageable ones.
 Communication: Strong communicator who possesses the ability to articulate information clearly and concisely with the business, document work in a clear, easy to follow manner, collaborate well with team members as both a mentor and mentee, take in vague requirements and ask the right questions to ensure clarification, offer feedback appropriately and effectively, seek out and receives constructive criticism well, listen when others are speaking and make space for colleagues to share their thoughts.
 Leadership: Intermediate leadership skills with the ability to help create a safe environment for others to learn and grow as engineers and a proven track record of self-motivation in identifying opportunities and tracking team efforts.

 What is a Must Have?

 Bachelor’s degree or its equivalent in work experience.
 Two years of programming/development experience.

 What Is in It for You?

 Health Insurance: Employees and their eligible family members – including spouses, partners, and children – are eligible for coverage from the first day of employment.
 Retirement: Travelers provides a core contribution of 3% of your total eligible earnings to your Deferred Profit Sharing Plan (“DPSP”). Travelers also matches your savings plan contribution dollar-for-dollar up to 5% of base pay.
 Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off (“PTO”) annually, plus the opportunity to purchase additional days to allow for up to a total of 36 PTO days per year. You will also receive twelve paid company Holidays.
 Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services and other resources to support your daily life needs. Through Life Balance, you’re eligible for free counseling sessions with a licensed therapist.
 Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice.

 Equal Employment Opportunity Statement
 Travelers is an equal opportunity employer. We are committed to providing accommodation to persons with disabilities. If you require accommodation during the recruitment or interview process we will work with you to accommodate your needs.
 If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you.

 0"
84,Junior Front-End Engineer,Wizebank,"Remote in Vancouver, BC",None Given,https://ca.indeed.com/viewjob?jk=853b5b6dc5982151,"As one of our early engineers, you'll have the opportunity to build entirely new products from scratch and make important technical decisions.",None Given,Full-time,None Given,"

Wizebank has built the industry's first ""Learn Now, Pay Later"" solution specifically designed to help world-class course creators, educators, and coaches sell more effectively. We're trusted by our partners to drive meaningful improvements in their business, and we work tirelessly to do just that.
 Founded in 2021, Wizebank has gone from pre-product to helping our partners generate millions in monthly sales across tens of thousands of customers in a matter of months. We're backed by Rhino Ventures, Panache Ventures, and industry leaders like Greg Smith (CEO, Thinkific), Tim Vipond (Founder, Corporate Finance Institute), Andrew Wilkinson (Co-Founder, Tiny), and Pat Flynn (Founder, Smart Passive Income).
 Wizebank is looking for a talented front-end developer to help us build best-in-class software and financial tools that help online education businesses better manage and grow their education empires. As one of our early engineering hires, you will have the opportunity to take complete, end-to-end ownership of projects and play a critical role in shaping our future products and processes.
 What you'll do?

 You'll work with a small engineering team to build mission-critical tools for course creators.
As one of our early engineers, you'll have the opportunity to build entirely new products from scratch and make important technical decisions.
You'll help build the foundation for Wizebank's engineering standards, tooling, and processes. 

Requirements

 You are comfortable with the ambiguity of an early-stage company. This includes being able to transform product sketches into working technology as well as working in an environment with a fast-paced delivery schedule.
Interested in our core domain - helping solopreneurs succeed by building valuable financial and software tools.
You understand the importance of both speed and quality, and the trade-offs of choosing one over the other.
You have a positive attitude, with high integrity and low ego.

Technical Skills
 We're looking for someone with experience with many, if not all, of:

 1-3+ years of professional software experience building front-end web applications
Experience with modern front-end frameworks, such as: Vue, Angular, React
Experience with HTML and CSS/SASS
Experience with front-end testing, using frameworks, such as: Jest, Mocha, or Chai
Experience working with CSS style and component libraries
Experience building design systems, and componentization

On the front-end we use Vue (migrating from 2 to 3), HTML and SASS; leveraging Tailwind CSS and our in-house built component library (Tasty Bistro) to create a consistent style system that serves four different micro-frontends scoped by business stakeholders.
 We're looking for someone with 3+ years of experience building web applications, who has applicable knowledge with TypeScript/JavaScript, buildingand using a modern web framework such as: Angular, React, Vue, etc.
 Nice to haves are Vue 3 experience,building design systems, and working with Tailwind CSS.
 Traits we value:

 A knack for writing clear and maintainable code.
Considers the pull between readability and playing code golf.
Thinks about systems with clear folder structures and scoping in mind, and cares about leaving the code they touch in a better place for their team.
Cares about the product, the final user experience, and brings this mentality across the stack.
Problem solvers and thinkers who speak up about purpose and value of features and decisions; engaging in questions and discussions, pushing themselves and those around them for the best outcomes for all.

Benefits

 Recent Financing: We closed a large financing in 2022 and we are actively looking to expand our team to deliver best-in-class financial products to our customers at scale.
Strong Traction: We are experiencing rapid growth and your work will directly impact thousands of businesses around the world.
Autonomy & Ownership: You'll have the opportunity to create your own path and own your work.
Impact: You will get to shape the culture of Wizebank. ""The early team you build is the company you build."" Your impact will be immediate and lasting.
Competitive Compensation: We reward great work and want to attract the best talent.
Work From Home Stipend: We cover the essentials including laptops, accessories, and more.
Learning & Development Stipend: We provide a personal development budget covering courses, books, events and more.
Extended Health Care Benefits: Comprehensive benefit plan and wellness spending account.


"
85,Front End Developer - React/ Redux + Node.js,Signify Technology,Remote,None Given,https://ca.indeed.com/viewjob?jk=b52c1d15d2616592,"Though not required, experience with Material UI is highly desired by the client.We are not accepting applications nor able to work with any candidates from…",$70–$128 an hour,Full-time,8 hour shiftMonday to Friday,"3x Front End Developers (React/Redux + Node.js)100% Remote from CanadaLong term Project$65 - $95 USD per hour ($88 - $128 CAD)
Continuing from our success in 2022 Signify have been asked by our client, one of the largest world leaders in entertainment to recruit for 3x Remote Front End Developers to join an established team which also includes a number of our other long term contractors at this client who have recently extended their contracts.
The role will be 100% remote and open to candidates who are currently located and able to work without requiring sponsorship in Canada.
Expediated interview process taking place from Monday 15th May
Requirements:

Strong React/Redux experience
Node.js
Though not required, experience with Material UI is highly desired by the client.

We are not accepting applications nor able to work with any candidates from third party agencies and are not able to provide sponsorship at this time.
Job Type: Full-time
Salary: $70.00-$128.00 per hour
Benefits:

Dental care
Vision care

Schedule:

8 hour shift
Monday to Friday

Application question(s):

Have you worked with Material UI before? If so, during which role and in what capacity?

Experience:

Node.js: 5 years (required)
React: 5 years (required)
Redux: 3 years (preferred)

Work Location: Remote"
86,Software Engineer - Backend,Microsoft,"Vancouver, BC",4.2,https://ca.indeed.com/viewjob?jk=fe622e46d4e97b5c,Microsoft 365 (M365) Intelligent Conversation and Communications Cloud is the platform that powers billions of real-time customer conversations across Microsoft…,None Given,Full-time,None Given,"

  Microsoft 365 (M365) Intelligent Conversation and Communications Cloud is the platform that powers billions of real-time customer conversations across Microsoft’s first-party (Teams, Skype), second-party (Dynamics), and third-party solutions (through Azure Communication Services). The platform enables reliable and high-quality messaging, meeting, and audio/video calling services that work every time, from anywhere, seamlessly across all customer touchpoints. Conversations on our platforms are made more intelligent in real-time, empowering best-in-class productivity tools for the modern workplace where every call, meeting, or chat will make the next one better.
 


 We are the team behind all the messaging scenarios across multiple products, and develop one of the largest scale, business-critical distributed systems in Microsoft. Our services run in 25+ regions, and we process billions of messages a day, enabling hundreds of millions of active enterprise as well as consumer users. The micro services are highly scalable, highly available, and extremely performant in geo-redundant, multi-tenant systems and honor data sovereignty, privacy, security, and compliance. You will have an opportunity to work with a highly collaborative and fun team in a fast-learning environment.
 
 Responsibilities

 Design, develop and operate features for large scale distributed software services and solutions.
 Adhere to modern software engineering practices through design and code reviews.
 Write clean and optimized code, improve test coverage for services, organize and implement integration tests, and resolve problem areas.
 Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered.
 Gain a working understanding of Microsoft as a business and collaborate with mentors and leaders in order to contribute to cohesive, end-to-end experiences for our users.
 Focus on customer/partner needs through a data driven approach.
 Develop “best-in-class” engineering for our services by ensuring that the services and the components are well-defined and modularized, secure, reliable, diagnosable, actively monitored and reusable.

 Qualifications

 Required/Minimum Qualifications:


 Bachelor's Degree in Computer Science, or related technical discipline.
 2+ years technical engineering experience with any object-oriented coding languages including, but not limited to C++, C#, Java or Python.
   
 OR equivalent experience.



 Preferred qualifications:


 3+ years designing, developing, and operating backend services.
 Ability to communicate technical details clearly across organizational boundaries.
 Experience in DevOps to maintain live services and/or application frameworks.
 Cloud and services experience, with Azure cloud experience highly desirable.
 Excellent analytical skills with systematic and structured approach to software design.
 Passion for building highly scalable, highly reliable services.
 Experience with or exposure to Agile and iterative development processes.


   #IC3
   #M365CORE
 

   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 


 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
 
"
87,Software Tester,Synic Software Inc.,"Vancouver, BC",None Given,https://ca.indeed.com/viewjob?jk=f3e59ae70f94e3a2,"We are currently seeking software testers on a part-time basis, to support the ongoing needs of our dev team.Providing feedback of new features.",From $23 an hour,Part-time,Day shiftMonday to Friday,"Job Description:
At Synic Software, we are a bunch of cool people working together to create software solutions for businesses.
Our hub in downtown Vancouver houses some of the best minds in the industry. We cater to diverse industries from finance to real estate, e-commerce to health, transportation and retail. We're not about segregated features. Full integration for user friendly technology and engagement immediacy is our jam.
We are currently seeking software testers on a part-time basis, to support the ongoing needs of our dev team.
Key Responsibilities:

performing manual and automated tests on features in development
participating in the development and maintenance of automated test cases in existing build pipeline
finding and documenting bugs as they are discovered
providing feedback of new features

Experience and Skills:

familiarity with .NET framework and C#
experience with testing tools
experience with JIRA or other bug tracking software an asset
excellent verbal and written communication skills

Job Type: Part-timePart-time hours: 24 per week
Salary: From $23.00 per hour
Benefits:

Casual dress
Company events
Flexible schedule

Schedule:

Day shift
Monday to Friday

Experience:

software QA: 1 year (preferred)

Work Location: One location"
88,Junior Software Programmer (remote position),Service Quality Measurement Group,"Remote in Vernon, BC",None Given,https://ca.indeed.com/viewjob?jk=dfcf44e32bd01eaf,SQM is a leading North American software company specializing in customer service QA management for call centre agents.Three weeks’ vacation to start.,None Given,Full-time,None Given,"



At SQM, our mission is to help call centres improve their customer satisfaction – one agent at a time. SQM is a leading North American software company specializing in customer service QA management for call centre agents. Through our mission and strategy, SQM fosters a culture of transformation, friendliness, collaboration, and teamwork with a customer-centric mindset. SQM has locations in both Vernon, BC and in Coeur d’Alene, Idaho.
 SQM is looking for a junior programmer to augment our Software Development team and assist with new projects as well as further improve our existing software projects. Most of our systems are based around .net and SQL server. Applicants should have a working knowledge of C# or similar languages, along with an ability to write/edit SQL queries.
 Additionally, the following skills will also helpful:

 Proven programming experience
 Multi-tasking and time management skills
 Excellent analytical abilities
 Detailed and goal-oriented
 Ability to work in a team environment
 Ability to work effectively and collaboratively and be flexible
 Ability to set priorities and meet deadlines

 A diploma or degree in Computer Science is required.
 This is a remote work position with preference for those living in the Pacific or Mountain time zone in Canada. If outside of the Pacific time zone, flexibility in working hours will be required to align with the Pacific time zone. Remote workers must have a quiet and distraction-free working space with an internet connection speed of at least 50 Mbps down and 15 Mbps up.
 Some of the benefits of working at SQM are:

 Competitive salary dependent upon education and work experience
 Extended Group Benefits Plan with Health, Dental, Vision, Employee Assistance Program, and insurance including short- and long-term disability
 Three weeks’ vacation to start
 Five paid sick days per year

 SQM Group is an equal opportunity employer. It is our policy to provide equal employment opportunity to all persons, regardless of race, religion, colour, sex, age, national origin, disability, genetic information or any factor that is a prohibited consideration under applicable law.



"
89,Jr. Full Stack JavaScript developer (West Coast Branch),Plexxis Software,"Victoria, BC",4.3,https://ca.indeed.com/viewjob?jk=8209da8a975673f1,"Job Type: Full time, permanent.Make meaningful contributions to a product that people rely on in their day-to-day business operations.","$61,500–$148,500 a year",Full-time,None Given,"
Position Title: Jr. Full Stack JavaScript developer
Reports to: Director, R&D
Job Type: Full time, permanent
Location: (Langford) Victoria, BC
Salary Range: $61,500 - $148,500  What You Will Do
As part of the Plexxis web development team, you will…

use react + node/express to create user interfaces and backend API calls as part of the ongoing effort to modernize our primary product offering
 learn from more senior team members who direct your day-to-day activities
 make meaningful contributions to a product that people rely on in their day-to-day business operations
 grow into a strong developer as you build your lifelong career at Plexxis

Requirements

You like people
 You are focused
 You are supportive
 You are driven
 You like to work in a team but are fine working on your own when the occasion calls for it
 You love coding and you love a good challenge
 You know some JavaScript basics
 You know some ReactJS basics, AngularJS basics, or VueJS basics
 You know some NodeJS basics

Nice to Have

Personal projects that demonstrate your love of development
 Developer training of some kind (boot-camp, college, university, etc.)
 Typescript
 OracleDB or any relational database exposure (SQL)


 About Plexxis Software

Plexxis maximizes the profit and efficiency of customers through software that unites accounting, costing, project management, estimating, and mobile applications into a single, world-class solution built exclusively for construction subcontractors.
Our Very Special Working Environment
Rooted in our belief that we are stronger together, Plexxis Software benefits from the synergy you can only get by bringing together the best and brightest people who embrace and embody our core values.
Are You the Perfect Fit? Do You Wish to:

Work with a small, tight-knit group of hard-working, dedicated, and fun individuals
 Enjoy the atmosphere of a rapidly growing, high energy company with an entrepreneurial spirit
 Be on the winning team - poised to emerge as the global leader
 Be challenged in the workspace, or even in the lunchroom
 Lose the stuffy environment (and politics) of “big corporate” and focus on delivering what the competition calls “impossible”
 If you are ready for an exciting career with an industry leader, apply today.

Disclaimer for all posting locations: We thank all applicants in advance for their interest but advise that only those selected for an interview will be contacted.
Plexxis is committed to the principles of diversity and inclusion, encouraging applications from all well-qualified applicants. Accommodation is available for applicants, including those with disabilities, throughout the recruitment process.
Please Note: If you are offered a position at Plexxis Software, you may be required to agree to a background check.
PLEXXIS IS AN EQUAL OPPORTUNITY EMPLOYER

"
90,Web Designer & Developer,Azuro Digital,Remote,None Given,https://ca.indeed.com/viewjob?jk=530a4c52e3cd10de,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.*.","From $70,000 a year",Full-timePermanent,Monday to Friday,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.
Azuro Digital is one of Canada’s top rated & award winning web design agencies.
We treat our clients like partners, and we go above and beyond to exceed their expectations in every respect. Our websites are built to get found on Google, motivate website visitors to take action, and create a stunning impression of the brand.
To learn more about us, check out our website: https://www.azurodigital.com/
As a web designer at Azuro Digital, you’ll build websites for exciting companies and you’ll execute every stage of the process with tons of creative control. Please note that coding knowledge is NOT required for this position.
We’re looking for a highly motivated team member with strong communication skills, a keen eye for design, and a self-starter mentality.
Responsibilities:
- Design and develop stunning websites on WordPress using Elementor (no coding knowledge required & if you haven’t used WordPress or Elementor before, we’ll teach you)
- Work with the client to create a content outline that will optimize the user experience and conversion rate. From there, the client or a professional copywriter will provide the written content
- Implement basic SEO tasks (no prior SEO experience is required)
- Communicate directly with clients (via email, phone, and Zoom) to customize their website, fulfill their unique needs, and exceed their expectations
- Build and refine the agency’s standard operating procedures (SOPs) to optimize workflows and make the process straightforward for future employees
- Meet with prospective clients (virtually) to learn about their requirements and convince them to choose Azuro Digital if we’re a good fit for their project. Our owner will lead the sales process, but you will sometimes be asked to provide assistance
Requirements:
- At least 1 full year of web design and development experience
- Submit a portfolio of previous websites that you designed and developed. Your portfolio must be in the form of active website URLs (built with any platform)
- Excellent communication skills (written and verbal)
- Motivated to take initiative, grow the company, and become a leader
- Must currently live in Canada
Nice-to-Haves:
- Experience with WordPress (especially the Elementor page builder)
- Experience with custom code and complex plugins
- Logo design experience
- Graphic design experience
- SEO experience
- Copywriting experience
Benefits:
- We’re a small agency and you will be treated like a “partner” rather than an employee. You will make a significant impact and will shape the future trajectory of our company
- Room for professional growth and salary increases
- Work from anywhere in Canada. The position is fully remote
- Health insurance coverage
Compensation:
The starting salary is $70,000 with room for growth.
Job Types: Full-time, Permanent
Salary: From $70,000.00 per year
Benefits:

Casual dress
Dental care
Extended health care
Flexible schedule
Paid time off
Vision care
Work from home

Flexible Language Requirement:

French not required

Schedule:

Monday to Friday

Supplemental pay types:

Bonus pay

Work Location: Remote"
91,Application Developer (Junior),Visual-Eyes Software (SOTH Inc.),"Red Deer, AB",None Given,https://ca.indeed.com/viewjob?jk=1b6c697bc42e8b63,Work with our team and clients to establish new screen designs.Migrate existing areas to new designs that are platform independent.,"$48,934–$53,681 a year",Full-time,8 hour shiftMonday to Friday,"Visual-Eyes is a leading practice management software for the eye care industry in Canada. We have been in business for over 25 years and are looking for a new Application Developer (Junior) to join our Red Deer team. Our Core Purpose is to be ""Partners in the journey to success"" with our clients and what we do best is to ""Streamline Business Processes"".
The Application Developer's starting focus is entry-level development tasks and cross-platform upgrades.
Key Responsibility Areas
Cross Platform Upgrades

Work with our team and clients to establish new screen designs
Migrate existing areas to new designs that are platform independent
Ensure new areas run cleanly and efficiently
Fix bugs related to new designs and technologies

Development

Use Agile SCRUM methodology
Participate in daily stand-ups
Communicate with the Lead Developer to review priorities, clarify needs, and receive approval for which defects or features will be addressed
Assess, analyze, and determine how the development will impact customers
Utilize Test Driven Development

Other

Stay on top of email correspondence
Perform a variety of other projects and assignments as required

Requirements
Experience

Object oriented programming
Development experience
SQL, Delphi, FMX, Git, and/or Bitbucket experience is a great asset

Education

Bachelor of Computer Science or equivalent

Competencies (skills, abilities, knowledge):

High attention to detail / accuracy
Good attitude and work ethic
Communication – verbal and written
Logical analytical skills
Problem solving / troubleshooting
Technical - computer / development skills

What do we offer? An exciting career opportunity, full health benefits, Group RSP's, monthly staff events, a relaxed corporate atmosphere (you can wear jeans to work), and the chance to work with a group of crazy talented people who are driven to do what's best for our clients.
To learn more about us, please visit us at: www.visual-eyes.ca
*This is not a remote role, we require that all candidates are able to work on-site at our Red Deer office.
**We thank all candidates who apply, however, only those considered for an interview will be contacted.
Job Type: Full-time
Salary: $48,934.00-$53,681.00 per year
Benefits:

Casual dress
Company events
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Red Deer, AB: reliably commute or plan to relocate before starting work (required)

Application question(s):

Why are you interested in this job?

Education:

Bachelor's Degree (required)

Experience:

object oriented programming: 1 year (preferred)

Work Location: In person"
92,Software Developer,Statgo,Remote,None Given,https://ca.indeed.com/viewjob?jk=1685ea4e040c3138,"This individual will drive Statgo’s UI and backend development.Deliver front-end applications, back-end and database solutions.","$70,000–$110,000 a year",Full-timePermanent,None Given,"Statgo develops technology to solve an everyday problem for doctors: getting paid. We create medical billing solutions that improve the billing process and give doctors control over their billing. We give doctors confidence that their billings are accurate and complete. In an industry dominated by paper, we do things in a smarter, more efficient way.
The Statgo team is currently looking for an energetic, motivated and organized individual for the development team. This individual will drive Statgo’s UI and backend development.
We are a small team and a start-up - so you will need to be adaptable and willing to have a hand in all aspects of development environment. This role is best suited to someone who enjoys a dynamic environment, wants to build something from small to big, and isn’t shy about rolling up their sleeves to get it done. This is a unique opportunity to build a brand and service that doctors across Canada will use and trust.
Key Responsibilities

Deliver front-end applications, back-end and database solutions
Develop UI and UX according to specifications and design concepts.
Create, maintain, support, and evolve your code & solutions over time.
Streamline development through reusable code and components.
Maintain existing deployed software

Technical Skills and Technologies

Highly proficient with web app & SPA development using frameworks like React, Vue, Angular, etc.
Experienced with PHP (Laravel), nodeJS, MySQL, MongoDB
Experienced with dev processes using Git, CD/CI, JIRA, and build tools (Webpack, Yarn, etc.)
Comfortable with code and testing concepts, tools, and frameworks.

Personal Attributes

Self-motivated and effective at working remotely.
Passionate about user experience and cutting edge advances in emergent technologies & approaches.
Natural problem-solver with advanced critical thinking & troubleshooting skills.
Meticulous and precise with implementation of user interfaces and experiences.
Strong communicator with an open-mind for exchange of ideas.
Accepting of feedback (positive and negative) to help with growth and improvement.
Goal oriented with a passion for delivering results.

Expectations

Work well as part of a team as well as independently.
Keep your code clean, organized, componentized, accessible, and documented.
Be ready to deliver under pressure to meet a timelines and quickly respond to critical issues.
Protect the privacy and confidentiality of personal health information in accordance with the Health Information Act.
Test code and components, while owning quality assurance over your work.

Apply
For more information about Statgo, check out www.statgo.ca.
Job Types: Full-time, Permanent
Salary: $70,000.00-$110,000.00 per year
Application question(s):

Describe any recent project you have worked on in React or Angular
Describe a problem that you have solved using backend technologies such as PHP and Node JS?

Education:

Bachelor's Degree (required)

Experience:

software engineer: 4 years (required)

Work Location: Remote"
93,Jr. Full Stack JavaScript developer (Ontario Branch),Plexxis Software,"Brampton, ON",4.3,https://ca.indeed.com/viewjob?jk=e82f002130a76602,"We're looking for Junior Full Stack developers to mentor and grow into superstars.Job Type: Full time, permanent.You know some JavaScript basics.","$61,500–$148,500 a year",Full-time,None Given,"
Position Title: Jr. Full Stack JavaScript developer
Reports to: Director, R&D
Job Type: Full time, permanent
Location: Brampton, ON
All successful candidates are required to reside within commuting distance of our Brampton, ON office location. Plexxis does not offer remote work opportunities.
Salary Range: $61,500 - $148,500

Summary
We're looking for Junior Full Stack developers to mentor and grow into superstars.
What You Will Do
As part of the Plexxis web development team, you will…

use react + node/express to create user interfaces and backend API calls as part of the ongoing effort to modernize our primary product offering
learn from more senior team members who direct your day-to-day activities
make meaningful contributions to a product that people rely on in their day-to-day business operations
grow into a strong developer as you build your lifelong career at Plexxis

Requirements

You like people
You are focused
You are supportive
You are driven
You like to work in a team but are fine working on your own when the occasion calls for it
You love coding and you love a good challenge
You know some JavaScript basics
You know some ReactJS basics, AngularJS basics, or VueJS basics
You know some NodeJS basics

Nice to Have

Personal projects that demonstrate your love of development
Developer training of some kind (boot-camp, college, university, etc.)
Typescript
OracleDB or any relational database exposure (sql)

What's it like working at Plexxis?
The dress is casual, but our commitment to quality is not. At Plexxis, the working environment is a social one - built on mutual respect and collaboration. We are a team of extremely hard-working individuals who have a steadfast dedication to delivering amazing results to our clients. As such, we make it a point to provide each of our employees with the tools needed to do their job well, including:

Competitive Salary
Benefits
Company gym
A games room
Paid after hours

Our team genuinely appreciates each other and there is an authentic camaraderie and support network.
About Plexxis Software:
The Plexxis Drywall Enterprise Resource Planning (ERP) software maximizes the profit and efficiency of wall & ceiling contractors through expert consulting and a drywall estimating software that unites digital takeoff, costing, construction management, mobile applications and accounting solutions into a single, sophisticated - yet simple system.
Since 1999, our sole focus has been dedicated to the wall and ceiling trade – a focus that has brought together an extraordinary wealth of knowledge, experience and expertise. From technology engineers, trainers and consultants, we have assembled the “right” people, the “right” product and the “right” service to deliver solutions unmatched in quality and customer focus.
Are you the perfect fit? Do you wish to …

Work with a small, tight-knit group of hard-working, dedicated and fun individuals
Enjoy the atmosphere of a rapidly growing, high energy company with an entrepreneurial spirit
Be on the winning team - poised to emerge as the global leader
Be challenged in the workspace, in the fitness room or even the billiards Café
Lose the stuffy environment (and politics) of “big corporate” and focus on delivering what the competition calls “impossible”

If you're ready for an exciting career with an industry leader, give us a call to explore your future. Growth. Learning. Opportunity.

 Disclaimer for all posting locations: We thank all applicants in advance for their interest but advise that only those selected for an interview will be contacted.   Plexxis is committed to the principles of diversity and inclusion; encouraging applications from all well qualified applicants. Accommodation is available for applicants, including those with disabilities, throughout the recruitment process.   Please Note: If you are offered a position at Plexxis Software, you may be required to agree to a background check.   PLEXXIS IS AN EQUAL OPPORTUNITY EMPLOYER

"
94,Software Engineer/ Software Developer,Shorewise Consulting LLC,"Mississauga, ON",None Given,https://ca.indeed.com/viewjob?jk=b84a3ee56828d26c,"Terms of employment- Permanent employment, Full time, 40 hours a week*.2 years to less than 3 years of relevant work experience.",$48 an hour,Full-timePermanent,8 hour shift,"Job Title: Software Engineer/ Software Developer
NOC Category: Software Engineer ( 2173)
Location: Same as business address (Remote job available)
Wages- CAD 48.00/ hr
Benefits- Medical, Dental
No, of Vacancy- 7
Terms of employment- Permanent employment, Full time, 40 hours a week
Employment Condition- Day
Languages- English
Education – Bachelor’s Degree
Experience
2 years to less than 3 years of relevant work experience.
Skill set-Oracle, Salesforce, JavaScript, PL/SQL, SQL Server, Software programming
Job Duties
· Design, develop, test modules with software application & hardware suite
· Collect, document & implement new feature and functions, perform unit testing
· Support development of necessary tools and perform performance analysis as needed.
· Lead/participate in software peer reviews to ensure compliance to requirements
· Root cause analysis of system related issues during testing and validation
· Communicates information to both internal and external stakeholders
· Support and/or lead activities in these technologies and their respective use cases.
· Write technical documentation
· Train and upskills existing personnel in related technologies
· Collect and document user's requirements and develop logical and physical specifications, Research, evaluate and synthesize technical information to design, develop and test computer-based systems
· Analyzing users stories and/use cases/requirements for validity and feasibility
· Lead and co-ordinate teams of information systems professionals, Collaborate closely with other team members and departments
Job Types: Full-time, Permanent
Pay: $48.00 per hour
Benefits:

Dental care
Extended health care
Paid time off

Schedule:

8 hour shift

Ability to commute/relocate:

Mississauga, ON: reliably commute or plan to relocate before starting work (required)
"
